"date","channel","variant","impressions","clicks","conversions","spend","revenue"
"2024-02-22","Email","A",3058,208,25,3.02,1231.61
"2024-02-24","TikTok","B",8901,246,10,35.77,522.35
"10-02-2024","Google Search","B",3997,133,13,47.03,668.08
"2024-03-15","Email","B",3258,276,31,3.23,1522.07
"2024-01-05","Instagram","A",7761,125,4,42.11,175.82
"2024-01-15","Facebook","A",8236,142,7,53.91,333.67
"2024-01-03","Google Search","B",5924,224,16,75.08,876.23
"2024-01-14","Instagram","B",7650,167,5,41.08,254.69
"2024-01-14","TikTok","B",8135,245,10,31.96,563.37
"2024-03-08","Email","B",3026,272,34,3.19,2187
"2024-03-17","Instagram","B",8474,151,6,46.47,288.07
"2024-01-04","email","A",2998,204,19,3.1,1106.37
"2024-02-04","Email","A",3582,302,34,3.38,1789.85
"2024-01-15","TikTok","A",8135,148,3,34.12,171.95
"2024-03-28","TikTok","B",14056,350,17,58.05,1055.69
"2024-03-15","Facebook","A",7527,151,6,51.8,296.94
"16-02-2024","Tik Tok","A",9113,188,5,37.19,289.03
"2024-02-21","Instagram","A",9045,129,4,51.57,244.85
"2024-02-10","Facebook","B",7778,208,10,49.51,516.95
"2024-02-21","Google Search","A",4556,195,20,57.24,998.62
"2024-01-10","Instagram","B",8713,182,7,47.34,422.86
"2024-01-20","Email","B",3363,203,24,3.95,1643.45
"2024-02-04","EMAIL","B",3324,266,30,3.44,1464.97
"2024-01-26","Google Search","A",5882,311,25,71.61,1361.76
"2024-02-01","TikTok","B",8952,306,13,37.08,538.23
"2024-03-07","Google Search","A",4872,228,20,57.82,1199.31
"2024-01-27","Facebook","A",7052,161,7,49.06,390
"2024-01-20","Google","A",4416,167,16,55.67,832.59
"2024-02-20","TikTok","A",9968,215,5,42.71,286
"2024-02-01","Email","B",3006,312,39,2.94,1715.17
"2024-02-18","email","B",2894,262,27,2.97,1477.5
"2024-03-18","Instagram","A",9275,146,3,52.83,160.84
"2024-03-29","TikTok","A",9211,190,5,34.77,312.6
"2024-02-03","Email","A",3145,254,30,3.14,1737.5
"2024-03-20","TikTok","A",10462,235,6,44.6,370.82
"2024-01-25","TikTok","A",8490,180,5,NA,264.45
"2024-02-18","Instagram","B",9145,160,6,55.36,376.01
"2024-01-14","TikTok","A",6625,102,2,26.03,105.35
"2024-01-05","Google Search","B",6030,242,17,NA,1104.85
"02/06/2024","TikTok","B",8911,343,15,34.64,759.2
"2024-02-12","Facebook","A",7530,146,7,44.59,245.64
"2024-01-21","Email","A",3050,199,21,3.3,1112.9
"2024-02-06","Instagram","A",6927,117,4,39.89,202.54
"2024-03-30","Email","B",2715,236,31,2.71,1795.57
"2024-02-28","Facebook","A",7494,106,5,49.9,279.99
"2024-01-30","Facebook","B",7378,151,7,43.69,396.99
"2024-03-15","Instagram","A",8148,123,3,42.96,137.78
"2024-03-05","Facebook","B",8542,240,9,56.29,426.93
"2024-03-18","TikTok","A",9560,187,6,39.36,276.37
"2024-02-17","Instagram","B",8773,155,6,45.38,336.56
"2024-02-12","FB","B",8742,182,9,57.16,375.89
"2024-01-16","Instagram","A",6950,116,4,39.69,221.56
"2024-01-05","Google Search","A",5586,254,21,63,1366.42
"2024-03-28","Facebook","A",8541,158,6,56.64,358.68
"2024-03-22","Instagram","B",9358,168,8,56,468.02
"2024-01-25","Email","A",2271,243,29,2.24,1839.11
"2024-02-09","tiktok","B",8622,275,8,35.98,451.1
"2024-01-16","Instagram","B",9261,182,7,49.44,324.92
"2024-02-29","Instagram","B",9184,201,8,47.74,301.95
"01/02/2024","Google Search","A",5788,283,28,69.76,1685.68
"2024-02-19","Google Search","B",4972,168,17,62.33,1007.04
"02/10/2024","instagram","A",7837,116,4,44.43,201.93
"2024-02-02","Facebook","B",9547,254,13,NA,666.36
"2024-02-07","Google Search","A",5164,275,23,64.33,1597.24
"21-03-2024","Facebook","B",7349,170,7,48.57,292.72
"2024-03-09","Email","A",3246,219,27,3.3,1381.68
"2024-01-19","TikTok","A",8007,167,3,30.63,191.71
"2024-01-27","Email","A",3226,205,22,3.15,763.83
