date,channel,variant,impressions,clicks,conversions,spend,revenue,ctr,conversion_rate,cac,roas
2024-02-22,Email,A,3058,208,25,3.02,1231.61,0.06801831262262917,0.1201923076923077,0.12,407.82
2024-02-24,TikTok,B,8901,246,10,35.77,522.35,0.027637344118638354,0.04065040650406504,3.58,14.6
2024-10-02,Google Search,B,3997,133,13,47.03,668.08,0.03327495621716287,0.09774436090225563,3.62,14.21
2024-03-15,Email,B,3258,276,31,3.23,1522.07,0.0847145488029466,0.11231884057971014,0.1,471.23
2024-01-05,Instagram,A,7761,125,4,42.11,175.82,0.016106171885066356,0.032,10.53,4.18
2024-01-15,Facebook,A,8236,142,7,53.91,333.67,0.017241379310344827,0.04929577464788732,7.7,6.19
2024-01-03,Google Search,B,5924,224,16,75.08,876.23,0.03781228899392303,0.07142857142857142,4.69,11.67
2024-01-14,Instagram,B,7650,167,5,41.08,254.69,0.021830065359477124,0.029940119760479042,8.22,6.2
2024-01-14,TikTok,B,8135,245,10,31.96,563.37,0.03011677934849416,0.04081632653061224,3.2,17.63
2024-03-08,Email,B,3026,272,34,3.19,2187,0.0898876404494382,0.125,0.09,685.58
2024-03-17,Instagram,B,8474,151,6,46.47,288.07,0.017819211706396033,0.039735099337748346,7.74,6.2
2024-01-04,Email,A,2998,204,19,3.1,1106.37,0.06804536357571714,0.09313725490196079,0.16,356.89
2024-02-04,Email,A,3582,302,34,3.38,1789.85,0.08431044109436069,0.11258278145695365,0.1,529.54
2024-01-15,TikTok,A,8135,148,3,34.12,171.95,0.01819299323909035,0.02027027027027027,11.37,5.04
2024-03-28,TikTok,B,14056,350,17,58.05,1055.69,0.0249003984063745,0.04857142857142857,3.41,18.19
2024-03-15,Facebook,A,7527,151,6,51.8,296.94,0.02006111332536203,0.039735099337748346,8.63,5.73
2024-02-16,TikTok,A,9113,188,5,37.19,289.03,0.020629869417315923,0.026595744680851064,7.44,7.77
2024-02-21,Instagram,A,9045,129,4,51.57,244.85,0.014262023217247097,0.031007751937984496,12.89,4.75
2024-02-10,Facebook,B,7778,208,10,49.51,516.95,0.02674209308305477,0.04807692307692308,4.95,10.44
2024-02-21,Google Search,A,4556,195,20,57.24,998.62,0.04280070237050044,0.10256410256410256,2.86,17.45
2024-01-10,Instagram,B,8713,182,7,47.34,422.86,0.020888327786066797,0.038461538461538464,6.76,8.93
2024-01-20,Email,B,3363,203,24,3.95,1643.45,0.06036277133511746,0.11822660098522167,0.16,416.06
2024-02-04,Email,B,3324,266,30,3.44,1464.97,0.08002406738868832,0.11278195488721804,0.11,425.86
2024-01-26,Google Search,A,5882,311,25,71.61,1361.76,0.05287317239034342,0.08038585209003216,2.86,19.02
2024-02-01,TikTok,B,8952,306,13,37.08,538.23,0.03418230563002681,0.042483660130718956,2.85,14.52
2024-03-07,Google Search,A,4872,228,20,57.82,1199.31,0.046798029556650245,0.08771929824561403,2.89,20.74
2024-01-27,Facebook,A,7052,161,7,49.06,390,0.022830402722631878,0.043478260869565216,7.01,7.95
2024-01-20,Google Search,A,4416,167,16,55.67,832.59,0.03781702898550725,0.09580838323353294,3.48,14.96
2024-02-20,TikTok,A,9968,215,5,42.71,286,0.021569020866773675,0.023255813953488372,8.54,6.7
2024-02-01,Email,B,3006,312,39,2.94,1715.17,0.10379241516966067,0.125,0.08,583.39
2024-02-18,Email,B,2894,262,27,2.97,1477.5,0.09053213545266067,0.10305343511450382,0.11,497.47
2024-03-18,Instagram,A,9275,146,3,52.83,160.84,0.01574123989218329,0.02054794520547945,17.61,3.04
2024-03-29,TikTok,A,9211,190,5,34.77,312.6,0.020627510585169907,0.02631578947368421,6.95,8.99
2024-02-03,Email,A,3145,254,30,3.14,1737.5,0.0807631160572337,0.11811023622047244,0.1,553.34
2024-03-20,TikTok,A,10462,235,6,44.6,370.82,0.022462244312750908,0.02553191489361702,7.43,8.31
2024-01-25,TikTok,A,8490,180,5,36.615,264.45,0.02120141342756184,0.027777777777777776,7.32,7.22
2024-02-18,Instagram,B,9145,160,6,55.36,376.01,0.017495899398578457,0.0375,9.23,6.79
2024-01-14,TikTok,A,6625,102,2,26.03,105.35,0.01539622641509434,0.0196078431372549,13.02,4.05
2024-01-05,Google Search,B,6030,242,17,59.49,1104.85,0.040132669983416254,0.07024793388429752,3.5,18.57
2024-02-06,TikTok,B,8911,343,15,34.64,759.2,0.0384917517674784,0.043731778425655975,2.31,21.92
2024-02-12,Facebook,A,7530,146,7,44.59,245.64,0.019389110225763614,0.04794520547945205,6.37,5.51
2024-01-21,Email,A,3050,199,21,3.3,1112.9,0.06524590163934427,0.10552763819095477,0.16,337.24
2024-02-06,Instagram,A,6927,117,4,39.89,202.54,0.016890428757037678,0.03418803418803419,9.97,5.08
